Year,Agricultural raw materials and live animals,Alcoholic beverages,Alcoholic beverages and tobacco products,Automotive fuel,"Clothing, woven materials, footwear",Commodities total,Food,"Food, alcoholic beverages and tobacco products",Manufactured goods,"Motor vehicles, their parts and accessories",Other goods,Tobacco products
2005,,,,,,,,,,,,
2006,29.119980557651104,,-1.6012425971670408,8.458524581164273,42.481784325703906,14.905882303567486,3.761427371598147,2.3555799625831098,23.642038597755423,,23.37701223319426,
2007,23.747848216421396,inf,24.068704283007982,42.64951278810862,10.480629589286439,18.73136713075192,15.032523487910332,17.309848005783234,19.5505181248691,,16.151066141145343,inf
2008,37.223804831058715,5.472761662328729,10.282815877627849,16.997360746905144,-1.0299468677305135,5.543875414369448,12.992137305467999,12.269984570827486,1.7406002578653101,,-2.9453593771326947,24.413181533586336
2009,-22.1581554306035,0.47964764931411885,2.271210778246857,-16.236913145714016,-21.344805076772346,-15.068193553035114,-6.765919560438849,-4.399772551438897,-21.72497016255913,,-23.875369846683313,6.732892442629823
2010,18.13063263502006,1.3915364929466545,-2.462294408586352,4.227098722165312,5.217495194179,2.1208506845224795,1.0727706603114173,0.08260742917634012,3.674150640804563,,2.618620308829267,-11.497756466720055
2011,12.815657833939365,9.799969484759519,12.692155580076193,16.326353759533774,7.716048188936542,10.010264927002188,9.883431220143123,10.65014552140977,9.539519206001067,,7.112847288333213,20.460582439824027
2012,35.252309404563164,6.818316522684098,7.337911171891243,19.53280160793294,13.625981853739866,11.789926213731071,10.588113706469748,9.684526613032606,13.354529692131024,,9.735609774413101,8.610017781030187
2013,-10.593281009050049,10.429299962008853,9.522477685136831,3.9320674735962458,8.79957382788561,6.429516230170318,1.8225999193052678,3.917454451254243,8.235876876548808,,10.973208019408665,7.338959246542709
2014,3.9018580627109944,-1.6619529636225927,0.700028791064744,-0.16893220372196094,5.593439624495433,5.175997896669293,8.119844082777261,5.992297893618881,4.6124285454958835,,6.570210188411507,6.551137416004771
2015,8.754878634283592,4.159349692876568,4.930700610206085,-9.064374970801348,4.370329909992399,5.405939021584083,1.4094850517401225,2.3687324298280688,7.530450589283588,,15.629219242962854,6.694207300373267
2016,18.104869450761395,-0.6510725950989782,-1.0348998904105566,5.276664660609343,8.539606826128242,4.676220067823489,4.290167159123803,2.8032079493008233,5.923488173522307,,5.092101034454299,-1.89157941223157
2017,-2.4414903007966893,-1.1329699305584695,0.4085959936071415,15.00258282714524,0.2532249322493296,6.79407338505853,7.172860972130257,5.354540974121091,7.7244420395456315,,7.593328210108874,3.8928369855823597
2018,-54.66791647756914,0.23879203204539845,3.8937676912885744,15.128881419110062,5.1790198478433025,6.345537281266611,3.5979735518969713,3.673749807765603,8.034320319975174,,8.085120711340398,11.754982969937977
2019,138.86918852159917,-5.645195510829348,-4.205193245740901,-1.3981759403310479,-15.695136377752162,5.096120361516032,6.527234093785905,3.771818981260089,5.899402133977993,,12.320806844804032,-1.427204214881328
2020,14.985448548967684,4.122257675023322,7.174008282417077,-12.271481747124513,-6.346098878425721,4.244398694810925,2.693597551197202,3.7554628882132457,4.535013313019998,,12.008106271510165,12.809525986792703
2021,2.1121251037554023,7.600457152840456,8.202296625927442,20.677130999661507,14.407484974864193,13.047680706847009,5.343533777818088,6.043389062100513,17.17985876105086,,17.09258090913066,9.228003335108959
2022,24.903422523402096,7.012378486586757,7.508298088100718,33.785398695935264,16.9036181874465,17.457073817815804,16.245708732655515,14.063150982481009,19.26902877969652,,15.470357223464703,8.341003931410263
2023,5.517396719635981,6.1231190242728495,4.88155853764638,-33.53951783845146,4.421217707923808,0.7254434867854709,11.434723697042593,9.891848731778662,-3.9547307699723144,,4.000754271903362,2.8225025739814447
