date,Retail Sales Index,Taxes,..value added tax,CPI YoY Change (%),Retail Sales YoY (%),Total Tax YoY (%),VAT YoY (%)
2015-03-01,66.7,1395862.78,441073.95,-0.9,,,
2015-06-01,75.7,1564209.44,472561.36,-0.03333333333333333,,,
2015-09-01,77.4,1615134.6600000001,490974.56,-0.4333333333333333,,,
2015-12-01,79.5,1642032.31,453773.55999999994,-0.5666666666666667,,,
2016-03-01,71.2,1584637.89,460614.82,-0.43333333333333335,6.746626686656665,13.523901683229923,4.430293378241901
2016-06-01,80.9,1611498.83,484039.23,-0.7000000000000001,6.869220607661819,3.023213438732353,2.42886341786388
2016-09-01,80.7,1690639.49,510637.82999999996,0.39999999999999997,4.263565891472854,4.674831880581398,4.004946814352239
2016-12-01,83.2,1676724.38,508959.34,1.2666666666666668,4.654088050314464,2.112751971366489,12.16152391073646
2017-03-01,74.8,1666568.01,497367.1,2.966666666666667,5.0561797752809,5.170273948201509,7.978961684298391
2017-06-01,84.2,1695178.18,524277.86,3.1333333333333333,4.0791100123609425,5.192641064467907,8.313092721844061
2017-09-01,83.5,1828594.84,558449.6599999999,3.733333333333333,3.4696406443618377,8.159950765139179,9.36315862066075
2017-12-01,85.0,1802429.71,554506.2,3.8000000000000003,2.163461538461542,7.497077724843493,8.949017420527138
2018-03-01,76.3,1817525.69,551248.06,3.1333333333333333,2.0053475935828846,9.057996979073168,10.833237662885242
2018-06-01,86.0,1912059.05,576667.29,3.3000000000000003,2.13776722090262,12.793986647468536,9.992684032089416
2018-09-01,86.9,1977331.8399999999,599246.35,3.6,4.071856287425146,8.13395054751438,7.305347808789087
2018-12-01,89.9,1940776.5299999998,591927.0,3.733333333333333,5.7647058823529385,7.675573656628187,6.748490819399322
2019-03-01,80.6,1826455.08,583167.53,2.3333333333333335,5.6356487549148016,0.49129374341885246,5.790400423359299
2019-06-01,90.3,2062041.15,605530.6699999999,2.9,5.000000000000004,7.844009838503663,5.00520499437378
2019-09-01,92.0,2136472.63,639988.25,2.2333333333333334,5.868814729574212,8.048259112643441,6.798856597124048
2019-12-01,94.6,2121818.23,633728.73,1.7333333333333334,5.22803114571746,9.328312518288762,7.061973858262927
2020-03-01,85.7,1912099.48,592245.47,1.5,6.327543424317628,4.689105192775944,1.5566607420683942
2020-06-01,86.0,1884803.5,525106.37,-1.1666666666666667,-4.761904761904756,-8.595252815396037,-13.28162287799558
2020-09-01,93.9,2176016.5300000003,653072.91,-0.9666666666666668,2.0652173913043637,1.8508966342339894,2.044515661029722
2020-12-01,97.7,2157148.91,658162.36,-1.1333333333333335,3.2769556025370017,1.6651134154880065,3.8555345281568565
2021-03-01,87.7,1952051.72,645801.23,0.6333333333333334,2.333722287047846,2.089443588991502,9.04283151376406
2021-06-01,100.7,2197153.34,657305.5700000001,3.1,17.093023255813968,16.572010822348314,25.175699163580912
2021-09-01,104.9,2384596.86,727156.6,5.533333333333334,11.714589989350376,9.585420290901903,11.343862050563391
2021-12-01,106.7,2729005.24,786079.06,9.333333333333334,9.211873080859778,26.509821707208904,19.43543231490783
2022-03-01,94.2,2276876.6100000003,769738.6,12.833333333333334,7.411630558722915,16.640178468222167,19.1912564180158
2022-06-01,102.8,2591263.25,809055.7,20.233333333333334,2.0854021847070525,17.93729653843823,23.086694670790607
2022-09-01,100.9,2693677.32,868124.8,23.766666666666666,-3.813155386081979,12.961539335416216,19.386222995156754
2022-12-01,100.3,2747626.41,843445.1599999999,20.46666666666667,-5.998125585754455,0.6823427719032216,7.297751958944154
2023-03-01,90.4,2516291.07,837878.05,17.166666666666668,-4.033970276008492,10.515038845253866,8.852284398885546
2023-06-01,100.8,2768859.73,862650.3200000001,11.333333333333334,-1.945525291828798,6.853664134664816,6.62434242784522
2023-09-01,99.3,2860758.14,880119.65,5.066666666666666,-1.5857284440039754,6.2027035962867405,1.3816965026226535
2023-12-01,101.1,2860791.58,881253.68,4.3,0.7976071784645988,4.118651996797484,4.482629315224251
2024-03-01,86.6,2727887.77,906500.4299999999,4.266666666666667,-4.203539823008862,8.409070894966074,8.190020015442578
2024-06-01,97.4,2981353.88,935723.5900000001,2.733333333333333,-3.373015873015861,7.674428130023037,8.470786865296699
2024-09-01,96.9,3140259.3899999997,977990.77,3.1999999999999997,-2.416918429003012,9.770181061164429,11.120206212871175
2024-12-01,105.8,3099389.68,964939.46,3.9,4.648862512364005,8.340282517190566,9.496219068271007
2025-03-01,89.4,3246997.66,975955.1000000001,4.533333333333334,3.233256351039282,19.02973779599444,7.661846338010037
2025-06-01,101.8,3261552.24,996914.89,4.666666666666667,4.517453798767956,9.398359647262012,6.539463219047392
2025-09-01,99.2,3412206.42,1102737.01,5.566666666666666,2.3735810113518996,8.66001805029235,12.755359644140608
